                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 0.2279,                0.24447,                0.85539,                0.97921,                0.98176,                0.99063,                0.96096,                0.25126,                0.25331,                0.66855,             0.00072631,             0.00072631,             0.00072631
                     59,                0.22385,                0.23718,                0.85663,                0.98822,                0.97185,                 0.9916,                0.96276,                0.23244,                0.24212,                0.65769,             0.00070981,             0.00070981,             0.00070981
                     60,                0.22645,                 0.2341,                0.85192,                0.99285,                0.96852,                0.98851,                0.95574,                0.25217,                0.24846,                0.67396,             0.00069331,             0.00069331,             0.00069331
                     61,                0.22632,                0.23644,                 0.8527,                0.97514,                0.98097,                0.98717,                0.95314,                0.27094,                0.26289,                0.67472,              0.0006768,              0.0006768,              0.0006768
                     62,                0.22149,                0.22892,                0.84932,                0.97421,                0.98219,                0.98414,                0.95438,                 0.2568,                0.27787,                0.67123,              0.0006603,              0.0006603,              0.0006603
                     63,                0.21663,                0.22768,                 0.8513,                0.98552,                0.96467,                0.98988,                0.95841,                0.27269,                0.27533,                0.68776,              0.0006438,              0.0006438,              0.0006438
                     64,                0.21326,                0.23193,                0.84923,                0.97466,                0.97426,                0.98679,                0.95761,                0.28068,                0.29411,                0.70157,             0.00062729,             0.00062729,             0.00062729
                     65,                0.21461,                0.22814,                0.85191,                0.97592,                0.97222,                0.98616,                0.95723,                0.26164,                0.27531,                0.67279,             0.00061079,             0.00061079,             0.00061079
                     66,                0.21471,                0.22682,                 0.8454,                0.97313,                0.98447,                0.98942,                0.95586,                0.26182,                0.25918,                0.66857,             0.00059429,             0.00059429,             0.00059429
                     67,                0.20762,                0.21769,                0.84513,                0.98546,                0.97302,                0.99137,                0.95733,                0.24407,                0.24505,                0.66692,             0.00057778,             0.00057778,             0.00057778
                     68,                0.21399,                 0.2176,                0.85051,                0.99221,                0.96852,                 0.9917,                0.96097,                0.25335,                0.23882,                0.67267,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.2147,                0.22311,                0.85111,                0.98799,                0.97518,                 0.9924,                0.96065,                0.23832,                0.24359,                0.66514,             0.00054478,             0.00054478,             0.00054478
                     70,                0.20883,                0.21693,                0.84451,                0.98267,                 0.9849,                0.99374,                 0.9661,                0.24465,                0.22861,                0.66504,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.2112,                0.21586,                0.84497,                0.98036,                0.98494,                0.99433,                0.96616,                0.24256,                0.21363,                0.66299,             0.00051177,             0.00051177,             0.00051177
                     72,                0.20594,                0.21186,                0.84575,                0.98807,                0.97201,                0.99413,                0.96397,                0.24615,                0.22038,                0.66203,             0.00049527,             0.00049527,             0.00049527
                     73,                0.19775,                0.20777,                0.84518,                0.97282,                 0.9855,                 0.9932,                 0.9624,                0.25114,                0.22635,                0.66809,             0.00047876,             0.00047876,             0.00047876
                     74,                0.19614,                0.20585,                0.84651,                0.97475,                0.97708,                0.99054,                0.96625,                0.24766,                0.23399,                0.67143,             0.00046226,             0.00046226,             0.00046226
                     75,                0.19618,                0.20723,                 0.8463,                0.97809,                0.98417,                0.99142,                0.95984,                0.26164,                0.23262,                0.67673,             0.00044576,             0.00044576,             0.00044576
                     76,                0.19585,                0.20358,                0.84764,                0.97981,                0.98761,                0.99327,                0.96564,                0.24231,                0.21574,                0.66884,             0.00042925,             0.00042925,             0.00042925
                     77,                0.19474,                0.19786,                0.84507,                0.98078,                0.98572,                0.99393,                0.96774,                0.24705,                0.22014,                 0.6722,             0.00041275,             0.00041275,             0.00041275
                     78,                0.19555,                0.20248,                0.84204,                0.97768,                0.98234,                0.99384,                0.96895,                0.24174,                0.23073,                0.67527,             0.00039625,             0.00039625,             0.00039625
                     79,                0.18883,                0.19846,                0.84467,                0.97831,                0.98643,                0.99351,                0.96855,                0.23681,                0.22299,                0.67489,             0.00037974,             0.00037974,             0.00037974
                     80,                0.18994,                0.19912,                0.84213,                0.99047,                0.97247,                0.99399,                  0.968,                0.24085,                 0.2193,                0.66903,             0.00036324,             0.00036324,             0.00036324
                     81,                0.18761,                 0.1942,                0.84253,                0.99299,                0.96665,                0.99363,                0.96717,                 0.2507,                0.21643,                0.67621,             0.00034674,             0.00034674,             0.00034674
                     82,                0.19089,                0.19603,                0.84157,                0.97018,                0.98723,                0.99366,                0.96489,                0.24229,                 0.2187,                0.67186,             0.00033023,             0.00033023,             0.00033023
                     83,                0.18879,                0.19639,                0.84316,                0.98278,                0.97947,                0.99386,                0.96997,                0.22556,                0.21196,                0.66617,             0.00031373,             0.00031373,             0.00031373
                     84,                0.18598,                0.19098,                0.84164,                0.97961,                 0.9862,                0.99378,                0.96886,                0.23161,                0.20436,                0.66343,             0.00029723,             0.00029723,             0.00029723
                     85,                0.18628,                0.19281,                0.84308,                0.98968,                0.96969,                0.99049,                0.96765,                0.22661,                0.21129,                0.66376,             0.00028072,             0.00028072,             0.00028072
                     86,                0.18467,                0.18758,                0.84502,                0.97797,                0.98766,                0.99073,                0.96962,                0.23179,                 0.2091,                0.66529,             0.00026422,             0.00026422,             0.00026422
                     87,                0.18463,                0.18967,                0.84465,                0.97837,                0.98784,                0.99356,                0.96816,                0.23477,                0.20992,                0.67151,             0.00024772,             0.00024772,             0.00024772
                     88,                0.17876,                0.18106,                0.83959,                0.98069,                0.98951,                0.99364,                0.97127,                0.22153,                0.19729,                0.66555,             0.00023121,             0.00023121,             0.00023121
                     89,                0.17851,                0.18538,                0.84278,                0.97932,                0.98737,                0.99345,                0.96807,                0.22339,                0.19647,                0.66155,             0.00021471,             0.00021471,             0.00021471
                     90,                0.23099,                0.40724,                 0.8656,                0.97966,                 0.9872,                0.98841,                0.96358,                0.22871,                0.20044,                0.65847,             0.00019821,             0.00019821,             0.00019821
                     91,                0.19182,                0.22977,                0.83202,                0.98837,                0.97258,                 0.9859,                0.95736,                0.24311,                 0.2621,                0.67183,              0.0001817,              0.0001817,              0.0001817
                     92,                0.18267,                0.20593,                0.83081,                0.99581,                0.97036,                0.98598,                0.95315,                0.25931,                 0.2592,                0.67948,              0.0001652,              0.0001652,              0.0001652
                     93,                0.17673,                0.20095,                0.82927,                0.99593,                0.97518,                0.98974,                0.95911,                0.25289,                0.24205,                0.68022,              0.0001487,              0.0001487,              0.0001487
                     94,                0.16641,                0.18839,                0.81685,                0.98992,                0.97718,                0.99307,                0.96299,                0.24811,                0.22762,                0.67018,             0.00013219,             0.00013219,             0.00013219
                     95,                0.16333,                0.17797,                0.82235,                0.98471,                 0.9767,                0.99088,                0.96376,                0.24554,                  0.221,                0.66591,             0.00011569,             0.00011569,             0.00011569
                     96,                0.15733,                0.17528,                0.82153,                 0.9885,                0.96942,                0.98965,                0.96515,                0.23055,                0.21344,                0.66135,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.16087,                0.17448,                0.81836,                0.98026,                0.98508,                 0.9902,                0.96558,                0.22222,                0.20117,                0.65799,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.16076,                  0.173,                0.82532,                0.97875,                0.98454,                0.99049,                0.96509,                0.21847,                0.19674,                0.65806,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.15866,                0.17117,                0.81808,                0.98123,                0.98342,                 0.9899,                0.96548,                0.21619,                0.19907,                0.65761,             4.9677e-05,             4.9677e-05,             4.9677e-05
